bench,llm,N,mse_NonCompDR,mse_RuleOPE,ruleope_pct_vs_noncomp,ci90_lo,ci90_hi,significant
nq,qwen,1200,0.014605040710137338,0.017629833735960623,-20.48184467047256,-26.159936711797748,-14.787340701006535,False
nq,qwen3b,150,0.023872010288580773,0.017225074996010652,42.43216279468027,27.214269270877534,60.5861807820405,True
nq,qwen3b,300,0.02176453320130006,0.01619500854317383,33.31333280276078,19.177264273257634,49.7249100317265,True
nq,qwen3b,600,0.017454626739627013,0.014517615638301548,16.463462554140484,7.413054453317147,26.04469915387675,True
nq,qwen3b,1200,0.015410025968414438,0.015360214445642659,-5.763041227946674,-12.794253049841686,2.0128851315373675,False
nq,qwencoder7b,150,0.020181532675667337,0.01445909585340497,38.93383121850151,28.32369145930347,50.98557923397602,True
nq,qwencoder7b,300,0.01791595430080394,0.013858476879806323,30.879993037842613,23.683803173815264,38.89671366330012,True
nq,qwencoder7b,600,0.016204733572579497,0.01255152659116183,29.68426028684943,23.52443929813004,36.13030953042448,True
nq,qwencoder7b,1200,0.015091936104754018,0.013352135458642793,12.378023658702041,9.098775647168411,15.949715221722016,True
nq,smollm17b,150,0.01888104744963581,0.009792688802491912,96.02564477235799,75.43972551442211,120.15405768909879,True
nq,smollm17b,300,0.017013492938059,0.008772430072034116,97.65771875922044,79.33955350943972,118.0781938939472,True
nq,smollm17b,600,0.014150730265296174,0.007862680040916028,79.7973129124839,63.730161941458555,97.09943265255451,True
nq,smollm17b,1200,0.011042213954002638,0.00782037169929527,36.92988265299626,28.038087818066938,46.608720982934116,True
nq,yi15,150,0.022654498733887106,0.01916684867087239,18.01218238847655,6.415443195815618,31.432724493988374,True
nq,yi15,300,0.019823589598379897,0.018662190078006322,0.9699347116555845,-9.770042851611016,12.823712310679426,False
nq,yi15,600,0.017815483421924724,0.017830098232568724,-4.587785514838383,-12.790823661090744,4.3662343347365296,False
nq,yi15,1200,0.013319044167943215,0.017557115936783753,-28.503520085806556,-34.25292906203514,-22.365680767641827,False
